Kundnummer,Tax Number 2,Landsorgnr,Kontogrupp kund,Namn 1,Box,Central adresshantering: Ort för postbox,Postnummer,CAH: Postnummer för postbox,CAH: Postnummer (georelevant),Ort,Landskod
0020072020,5560696618,SE5560696618,Z001,AB Blåkläder,124,,,512 23,,SVENLJUNGA,SE
0020072135,5560701715,SE5560701715,Z001,H & M Hennes & Mauritz GBC AB,,,501 89,,501 89,BORÅS,SE
0020072739,5561104109,SE5561104109,Z001,Cellbes AB,,,501 81,,,BORÅS,SE
0020308199,5560440264,SE5560440264,Z001,ELLOS AB,,,501 86,,,BORÅS,SE
0020332861,5564300142,SE5564300142,Z001,Telia Sverige AB 4401080534,,,341 32,,,LJUNGBY,SE
0020461522,5566538822,SE5566538822,Z001,Nelly NLY AB,,,506 30,,,BORÅS,SE
0020491786,5566429683,SE5566429683,Z001,Acne Retail AB,2327,,,103 18,,STOCKHOLM,SE
0020493129,5567102230,SE5567102230,Z001,Gents AB,,,254 68,,,HELSINGBORG,SE
0020525783,5566999214,SE5566999214,Z001,New Bubbleroom Sweden AB,922,,,501 10,,BORÅS,SE
0020551713,18064889,FI18064889,ZZ01,Bridgestone Europe S.A.,,,01451,,01451,VANTAA,FI
0020563550,5563659746,SE5563659746,ZZ01,Volvo Parts Corporation,,,405 08,,,GÖTEBORG,SE
0020580179,5561929315,SE5561929315,Z001,Nilson Group AB,,,432 32,,432 32,VARBERG,SE
0020591108,5567104699,SE5567104699,Z001,Boozt Fashion AB,,,215 32,,215 32,MALMÖ,SE
0020606498,5560358672,SE5560358672,Z001,Clas Ohlson AB,,,793 85,,793 85,INSJÖN,SE
0020609622,5567474001,SE5567474001,Z001,Bagaren & Kocken AB,,,416 52,,416 52,GÖTEBORG,SE
0020664538,5564372521,SE5564372521,Z001,SWEDEMOUNT SPORTSWEAR &,125,,,457 02,457 02,GREBBESTAD,SE
0020666616,5568747827,SE5568747827,Z001,Apotek Hjärtat Logistik AB,,,171 93,,,SOLNA,SE
0020687323,5563813038,SE5563813038,Z001,TEKNIKMAGASINET SWEDEN AB,2015,,,174 02,174 02,SUNDBYBERG,SE
0020689118,5564061702,SE5564061702,Z001,CDON AB,,,341 32,,,LJUNGBY,SE
0020689885,5567644140,SE5567644140,Z001,OneMed Sverige AB,,,425 37,,,HISINGS KÄRRA,SE
0020691569,5563659746,SE5563659746,ZZ01,Volvo Parts Corporation Vce Gent,,,405 08,,405 08,GÖTEBORG,SE
0020692244,5590685235,SE5590685235,Z001,NORD Nordic Retail & Distribution,,,131 52,,,NACKA STRAND,SE
0020714624,5591068175,SE5591068175,Z001,JCC Partner AB,,,563 91,,,GRÄNNA,SE
0020716900,811146964,DE811146964,Z001,Bonprix Handelsgesellschaft mbH,,,22179,,22179,HAMBURG,DE
0020742367,854943663,NL854943663,Z001,ContextLogic B.V.,,,1118 BJ,,,SCHIPHOL,NL
0020753145,5564210309,SE5564210309,Z001,Telenor Sverige AB,3081,,,169 03,,SOLNA,SE
0041002413,5561286559,SE5561286559,Z002,PostNord Group AB,,,105 00,,,STOCKHOLM,SE
0041007857,264268643,DE264268643,Z002,PostNord Logistics GmbH MyBrands,,,23570,,,Lübeck,DE
0041008391,636084437,GB636084437,Z002,Direct Link Worldwide Ltd,,,UB3 1AN,,UB3 1AN,"HAYES, MIDDLESEX",GB
0041009461,5561617191,SE5561617191,Z002,PostNord TPL AB,,,737 83,,,FAGERSTA,SE
0041009513,264268643,DE264268643,Z002,PostNord Logistics GmbH,,,23570,,,Lübeck-Travemünde,DE
