Laddningstidpunkt,Material,Tilläggstjänst per produkt,Kundens beställningsdatum,Verklig vikt,Försäljningsdokument,Enhet för längd/bredd/höjd,Företag,Fraktdragande vikt,Inhämtande terminal,Inlämningsperiod,Inlämningsställe,Summa nettoomsättning SD (inkl avgift),Valutakod,Villkorsdelsumma 3 ur kalkylschema,SD-dokumentets valuta,Kollinummer,Referensdokumentnummer,Försäljningskvantitet (st),Från Land,Till Land,Paketvikt,Räkenskapsår/period,Från Postnummer,Till Postnummer,Inhämtningsterminal,s_ord_item,samtaxering,Terminalavgift,Fakt tillägg/avgift,Drivmedels- och svaveltillägg,Kundnummer uppdragsgivare,spridande terminal,Viktenhet,Viktklass (taxerad vikt),Volymer i kubikmeter,Volymvikt (baserat på avtal),Avstånd Km,Sändnings ID,Bredd,Höjd,Längd,Kollislag,Prisgrupp
07Dec2019 15:45:00,000000000001001029,,2019-10-02,2.820,1510950371,M,F091,16.800,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222443750,7501465047,1,SE,SE,0000000017,201910,20210,20502,,002980,N,0.00,0.00,0.00,0020689885,,KG,3,0.060,2.820,00000,,0.390,0.270,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,10.000,1510950371,M,F091,10.000,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222443767,7501465047,1,SE,SE,0000000010,201910,20210,20502,,002990,N,0.00,0.00,0.00,0020689885,,KG,10,0.001,10.000,00000,,0.100,0.100,0.100,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,12.400,1510950371,M,F091,12.400,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222443774,7501465047,1,SE,SE,0000000013,201910,20210,20502,,003000,N,0.00,0.00,0.00,0020689885,,KG,12,0.017,12.400,00000,,0.210,0.260,0.310,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,12.380,1510950371,M,F091,12.380,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222443781,7501465047,1,SE,SE,0000000013,201910,20210,20502,,003010,N,0.00,0.00,0.00,0020689885,,KG,12,0.017,12.380,00000,,0.210,0.260,0.310,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.100,1510950371,M,F091,12.320,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445365,7501465047,1,SE,SE,0000000013,201910,20210,20502,,003020,N,0.00,0.00,0.00,0020689885,,KG,7,0.044,7.100,00000,,0.390,0.270,0.420,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.060,1510950371,M,F091,12.320,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445372,7501465047,1,SE,SE,0000000013,201910,20210,20502,,003030,N,0.00,0.00,0.00,0020689885,,KG,7,0.044,7.060,00000,,0.390,0.270,0.420,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,14.180,1510950371,M,F091,16.800,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445389,7501465047,1,SE,SE,0000000017,201910,20210,20502,,003040,N,0.00,0.00,0.00,0020689885,,KG,14,0.060,14.180,00000,,0.390,0.270,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,13.820,1510950371,M,F091,17.360,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445396,7501465047,1,SE,SE,0000000018,201910,20210,20502,,003050,N,0.00,0.00,0.00,0020689885,,KG,14,0.062,13.820,00000,,0.400,0.270,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,5.720,1510950371,M,F091,16.240,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445402,7501465047,1,SE,SE,0000000017,201910,20210,20502,,003060,N,0.00,0.00,0.00,0020689885,,KG,6,0.058,5.720,00000,,0.390,0.260,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,1.300,1510950371,M,F091,4.760,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222445419,7501465047,1,SE,SE,0000000005,201910,20210,20502,,003070,N,0.00,0.00,0.00,0020689885,,KG,1,0.017,1.300,00000,,0.250,0.220,0.300,,
